Company Name,Skill,Title
Novartis Healthcare Pvt. Ltd.,"IT services, PMP, Pharma, Consulting, Healthcare, Business strategy...",1
Novartis Healthcare Pvt. Ltd.,"IT services, Problem management, Customer service, Business continuity...",1
Novartis Healthcare Pvt. Ltd.,"IT services, Service management, Problem management, Healthcare...",1
Novartis Healthcare Pvt. Ltd.,"IT services, security architect, LDAP, HP data protector...",1
Novartis Healthcare Pvt. Ltd.,"Performance tuning, IIS, JBoss, WAN, Project management, Weblogic, Apache...",1
OSI Systems Pvt. Ltd.,"iso 27001, trend micro, it security, security analysis, qradar, soc...",1
OpsMx,"English, Written Communication, Communications, Technical Writer...",1
Quality Systems India Healthcare Pvt Ltd,"development, code, software, Postgresql, Information technology, quality...",1
OpsRamp,"Computer science, Email, Linux, Helpdesk, Cisco, Windows, microsoft...",1
Pathfinder Management Consulting (India) Ltd.,"Database Administration, SQL Azure, hadr solution, azure",1
Pegasystems Worldwide India Pvt. Ltd.,"VMware, Linux, Active directory, Incident management, Pega, Windows, MCSE...",1
Pegasystems Worldwide India Pvt. Ltd.,"VMware, Redhat Linux, Access management, Network operations...",1
Pentagon Consultancy Services,"Tomcat, Linux, Solaris, JBoss, Shell scripting, PLSQL...",1
People Value Consulting,"Construction Operations, Program Management, Project Management",1
Personal Network. Ltd,"Senior Design Engineer, PROC, Technology consulting, Networking, RDBMS...",1
Personal Network. Ltd,"Technical product configuration, c++, C, design, MySQL, JavaScript...",1
Planon,"server, Tomcat, development, software, JBoss, Web development, HTML...",1
Process360 Pvt Ltd,"business ops manager, information technology, business ops executive...",1
Progress Software Development Pvt Ltd,"Aix, VMware, SAN, C++, Automation, Linux, Solaris, Configuration management...",1
Proxim Quest It Solutions Private Limited,"server, Content management, development, Filenet, analytical...",1
Pyramid IT Consulting Pvt Ltd.,"head hunting, talent acquisition, us it recruitment, screening, recruitment...",1
QUANTIUM ANALYTICS PRIVATE LIMITED,"Team Management, Angularjs, Product Management, people management...",1
QUANTIUM ANALYTICS PRIVATE LIMITED,"xaml, c#, GIT, CI / CD Pipeline, automation engineering, .net, wpf...",1
Quadruple Automation Services Pvt Ltd,"Socket programming, Automation, software, JBoss, mobile, mca, jdbc, it...",1
